125,9,5,7
125,3,
125,11,4
500,1,1,5
500,1,
500,11,
250,1,3,7
125,0,4
125,0,3,6
250,0,4,10
250,0,4,10
125,0,4,7
125,0,1,6
125,0,3,5
125,0,3,5
125,0,4
125,0,3,8
125,0,8
125,0,5,9
125,0,5,9
125,0,5,9
125,0,9
125,0,10
125,0,10
125,0,1,6
125,10,2,9
125,2,2,9
125,1,5,9
125,11,5,9
250,1,
125,5,3
125,6,9
125,5,8
125,0,4,9
125,0,3,7
125,0,4,5
125,0,3,7
125,10,4,7
125,8,5,9
125,4,
125,4,4,7
125,4,7
125,4,5,9
125,8,5
125,4,4
500,4,3
250,8,4
125,10,4,7
125,8,4,7
125,4,
125,6,3
125,5,11
125,1,7
125,6,7
125,6,6,9
125,6,4,7
125,6,4,7
125,6,6,9
125,4,6,9
125,11,4
125,7,4,5
125,5,2,4
125,1,3,5
125,1,4,5
125,1,2,4
125,0,2,3
125,0,2
125,0,2,4
125,0,6,9
125,0,8
125,0,4,7
125,0,4
125,0,7
125,0,3
125,0,3
125,8,1,3
125,4,3,7
125,8,3
125,5,4,7
125,1,1,3
250,1,1,3
500,5,3,5
250,7,4,7
250,4,5,9
125,10,5,9
125,2,4
125,8,9
125,0,9
125,0,3
125,0,7,10
125,0,4,7
125,0,5,9
125,0,1,3
125,0,1,3
125,0,1,3
250,0,11
750,5,2,9
250,7,2,3
125,5,1,3
125,1,3,8
