125,6,3,8
125,6,6,9
125,6,9,14
125,6,5,8
125,5,3,7
125,8,3,7
125,8,3,8
500,4,9,14
500,2,3,9
500,3,2,6
1000,3,3,8
125,9,3,8
500,0,3,8
500,11,3,8
500,0,3,8
500,0,8,14
250,0,4,8
250,11,10,13
250,6,3,7
250,7,3,7
500,7,5,9
125,2,5,9
125,1,4,13
125,1,6,14
125,4,2,9
250,4,3,8
250,6,9,14
500,6,4,13
500,8,4,13
500,8,5,10
500,8,3,7
500,7,8,13
500,7,7,14
500,7,7,14
250,6,7,14
500,0,10,13
250,9,2,13
750,4,2,13
250,8,3,8
250,4,3,9
250,4,4,14
250,4,5,13
250,8,4,14
125,8,6,9
125,10,3,8
125,8,3,8
125,8,3,8
250,8,4,7
500,5,3,7
500,4,3,8
250,10,4,8
125,2,6,14
125,1,8,14
125,10,2,6
125,10,2,6
250,7,4,9
250,3,4,8
250,4,4,7
125,5,3,8
500,10,5,14
500,8,3,6
125,8,2,4
125,8,2,10
125,7,4,10
125,7,4,10
250,0,8,14
250,6,5,8
125,6,3,8
125,2,3,8
250,2,3,8
250,7,3,8
250,7,7,13
250,3,2,8
250,7,6,13
125,8,6,13
125,8,2,7
125,8,4,9
125,9,7,14
125,8,5,8
125,8,2,6
125,9,4,14
125,9,3,13
250,9,2,7
125,3,7,13
125,4,2,7
250,11,2,6
500,2,2,6
125,10,3,8
125,8,3,8
1000,6,10,13
1000,3,10,13
1750,7,6,10
2250,3,5,9
1750,1,3,8
125,1,3,6
750,8,4,8
1750,1,3,6
1750,7,4,13
500,8,3,6
250,4,2,4
