125,0,3,8
250,6,2,13
250,6,5,8
250,1,2,8
125,6,3,7
125,6,5,8
250,6,5,14
250,8,3,6
500,11,3,8
500,0,3,8
500,1,6,9
500,0,6,9
125,0,3,6
250,10,3,8
250,11,3,8
1000,0,3,6
1500,8,5,13
500,8,2,5
500,8,4,7
125,8,3,8
125,8,3,8
125,9,8,14
250,9,8,14
250,5,6,13
500,5,6,13
500,3,5,8
250,4,5,13
250,1,5,13
125,1,3,8
125,5,4,7
250,3,2,6
250,4,5,8
250,8,2,8
500,8,3,7
500,0,3,7
500,11,3,8
250,3,7,14
125,4,4,7
125,6,4,7
250,6,3,8
125,0,3,8
125,1,3,8
500,5,3,6
500,5,9,14
500,10,4,8
500,0,3,8
500,0,3,8
500,10,3,8
250,8,9,14
500,2,5,13
500,2,3,7
750,2,5,8
750,8,5,13
750,4,3,7
750,7,4,7
125,8,2,5
125,3,2,6
125,0,2,6
250,10,4,9
125,10,6,14
125,0,8,14
125,0,3,8
125,3,4,9
250,2,3,6
750,7,4,10
250,11,3,8
250,0,3,8
125,2,3,8
250,4,2,5
125,3,10,13
125,2,4,8
250,3,4,8
125,3,3,7
125,4,6,14
500,0,6,14
500,6,3,8
125,6,5,9
250,0,3,7
125,5,2,7
125,8,2,13
500,0,2,13
500,6,6,9
125,8,5,14
500,8,5,14
500,8,4,9
250,4,4,9
125,11,4,13
250,2,4,13
250,3,7,10
125,7,7,13
250,6,5,13
250,6,5,10
500,6,5,10
250,4,9,14
500,0,4,9
500,4,2,6
500,1,2,13
250,7,2,13
125,4,3,13
250,11,2,13
