125,5,3,8
125,1,3,8
250,6,4,9
500,10,4,14
500,10,5,10
500,10,3,7
125,4,3,7
500,4,3,7
250,4,7,13
125,8,7,13
500,1,2,5
125,4,3,6
125,4,3,8
250,0,3,8
500,0,5,14
500,2,4,7
750,0,3,8
750,3,4,7
750,2,3,8
750,0,3,8
250,1,5,14
125,8,5,14
125,8,9,13
250,8,9,13
125,2,4,13
250,5,5,8
125,6,3,7
125,6,3,7
750,5,2,7
500,11,4,9
500,6,6,13
500,6,4,7
500,6,3,6
125,0,4,9
125,0,3,8
125,0,2,7
125,3,6,9
500,8,3,8
500,6,7,14
1000,2,3,8
1500,9,3,13
750,0,4,14
1750,6,8,13
500,5,3,7
500,10,3,8
500,0,4,13
500,0,2,5
125,8,3,8
125,4,4,8
125,2,4,13
250,6,4,13
250,7,3,8
250,8,4,9
250,10,4,13
125,2,4,10
250,6,3,8
250,3,3,8
500,3,4,9
250,7,2,4
125,1,2,8
250,6,3,7
500,6,3,8
125,6,3,8
125,2,3,8
500,1,6,9
500,5,4,9
125,7,4,8
250,7,4,7
125,5,5,14
125,6,5,9
500,6,5,13
500,6,3,6
250,6,3,8
125,6,5,9
125,6,2,6
125,7,2,4
125,10,2,9
250,7,5,10
125,8,2,10
125,8,2,6
125,4,2,4
125,5,5,9
250,9,5,9
500,8,5,9
500,7,5,9
500,3,6,10
500,1,6,10
250,5,2,6
250,8,3,6
250,8,8,14
500,0,6,14
1000,11,8,14
125,1,5,13
125,0,5,10
250,0,3,7
500,11,3,7
500,0,5,9
250,4,3,6
250,8,3,6
125,7,2,5
